Designator,Mid X,Mid Y,Layer,Rotation
BOOT1,370.68,-125.41,B,90.00
C1,352.79,-126.52,B,90.00
C2,343.80,-117.51,B,180.00
C3,343.79,-116.38,B,180.00
C4,356.28,-123.00,B,0.00
C5,349.00,-126.50,B,90.00
C6,347.96,-126.50,B,90.00
C7,353.90,-114.06,B,270.00
C8,352.79,-114.06,B,270.00
C9,350.04,-126.50,B,270.00
C10,357.41,-98.90,B,90.00
C11,358.53,-98.90,B,90.00
C12,359.42,-104.48,B,180.00
C13,369.70,-115.46,T,0.00
C14,369.70,-114.35,T,0.00
C15,369.70,-112.36,T,0.00
C16,369.70,-110.38,T,0.00
C17,369.71,-108.39,T,0.00
C18,369.71,-106.41,T,0.00
C19,369.70,-104.44,T,0.00
C20,369.70,-102.51,T,0.00
C21,369.70,-100.42,T,0.00
C22,369.70,-98.49,T,0.00
C23,369.70,-96.55,T,0.00
C24,369.70,-94.47,T,0.00
C25,369.70,-92.54,T,0.00
C26,369.70,-90.60,T,0.00
C27,369.70,-88.52,T,0.00
C28,369.71,-86.52,T,0.00
C29,369.71,-83.79,T,0.00
C30,363.51,-83.74,T,180.00
C31,363.51,-85.59,T,180.00
C32,363.51,-87.68,T,180.00
C33,363.51,-89.61,T,180.00
C34,363.51,-91.70,T,180.00
C35,363.51,-93.63,T,180.00
C36,363.51,-95.57,T,180.00
C37,363.51,-97.65,T,180.00
C38,363.51,-99.58,T,180.00
C39,363.51,-101.52,T,180.00
C40,363.51,-103.60,T,180.00
C41,363.51,-105.54,T,180.00
C42,363.51,-107.47,T,180.00
C43,363.51,-109.56,T,180.00
C44,363.51,-111.49,T,180.00
C45,363.51,-113.50,T,180.00
C46,363.50,-115.29,T,180.00
D1,117.08,-84.14,B,270.00
D2,153.59,-88.90,B,270.00
D3,191.69,-88.90,B,270.00
D4,229.79,-88.90,B,270.00
D5,267.89,-88.90,B,270.00
D6,305.99,-88.90,B,270.00
D7,325.00,-89.00,B,270.00
D8,410.74,-89.05,B,270.00
D9,449.19,-89.15,B,270.00
D10,119.46,-107.95,B,270.00
D11,158.35,-107.95,B,270.00
D12,196.45,-107.95,B,270.00
D13,234.55,-107.95,B,270.00
D14,272.65,-107.95,B,270.00
D15,310.75,-107.95,B,270.00
D16,329.80,-107.95,B,270.00
D17,410.00,-108.00,B,270.00
D18,448.50,-108.00,B,270.00
D19,129.38,-126.60,B,270.00
D20,167.88,-127.00,B,270.00
D21,205.98,-127.00,B,270.00
D22,244.08,-127.00,B,270.00
D23,282.18,-127.00,B,270.00
D24,322.26,-127.00,B,270.00
D25,368.50,-132.50,B,270.00
D26,410.50,-127.00,B,270.00
D27,449.14,-130.85,B,270.00
D28,120.25,-145.65,B,270.00
D29,162.99,-143.48,B,270.00
D30,260.51,-143.52,B,270.00
D31,303.20,-143.50,B,270.00
D32,348.85,-150.81,B,270.00
D33,391.25,-148.25,B,270.00
D34,412.15,-141.00,B,90.00
D35,450.25,-141.00,B,90.00
D36,391.50,-89.00,B,270.00
D37,391.40,-127.30,B,270.00
D38,391.37,-108.10,B,270.00
F1,355.20,-102.79,B,180.00
J1,355.60,-92.08,B,180.00
LED1,367.62,-115.90,T,270.00
LED2,367.59,-113.92,T,270.00
LED3,367.59,-111.93,T,270.00
LED4,367.59,-109.95,T,270.00
LED5,367.59,-107.96,T,270.00
LED6,367.59,-105.98,T,270.00
LED7,367.59,-104.00,T,270.00
LED8,367.59,-102.01,T,270.00
LED9,367.59,-100.03,T,270.00
LED10,367.59,-98.04,T,270.00
LED11,367.59,-96.06,T,270.00
LED12,367.59,-94.07,T,270.00
LED13,367.59,-92.09,T,270.00
LED14,367.59,-90.11,T,270.00
LED15,367.59,-88.12,T,270.00
LED16,367.59,-86.14,T,270.00
LED17,367.62,-84.18,T,0.00
LED18,365.54,-84.18,T,90.00
LED19,365.54,-86.14,T,90.00
LED20,365.54,-88.12,T,90.00
LED21,365.54,-90.11,T,90.00
LED22,365.54,-92.09,T,90.00
LED23,365.54,-94.07,T,90.00
LED24,365.54,-96.06,T,90.00
LED25,365.54,-98.04,T,90.00
LED26,365.54,-100.03,T,90.00
LED27,365.54,-102.01,T,90.00
LED28,365.54,-104.00,T,90.00
LED29,365.54,-105.98,T,90.00
LED30,365.54,-107.96,T,90.00
LED31,365.54,-109.95,T,90.00
LED32,365.44,-111.93,T,90.00
LED33,365.44,-113.95,T,90.00
LED34,365.44,-115.88,T,90.00
R1,367.11,-122.24,B,270.00
R2,366.06,-122.24,B,90.00
R3,369.69,-116.50,T,0.00
R4,363.51,-116.48,T,0.00
U1,350.04,-120.25,B,90.00
U2,355.20,-98.42,B,180.00
U3,359.42,-101.95,B,90.00
U4,356.74,-112.37,B,180.00
